Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 3 High template"
MED8,mediator complex subunit 8,XM_001093895,MmugDNA.4056.1.S1_at,MED8,0.744563356
CA10,carbonic anhydrase X,XM_001101771,MmuSTS.564.1.S1_at,CA10,0.691812173
CA10,carbonic anhydrase X,XM_001101771,MmugDNA.16395.1.S1_at,CA10,0.680840094
MmugDNA.40026.1.S1_at,gDNA.g3123849  FEA=U133PSR  GEN=PPAP2A  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 210946_at phosphatidic acid phosphatase type 2A  REP_ORG=M. mulatta,gDNA,MmugDNA.40026.1.S1_at,PPAP2A,0.672650632
MED8,mediator complex subunit 8,XM_001093775,MmugDNA.41890.1.S1_at,MED8,0.670838569
LOC716263,similar to centrosomal protein 70 kDa,XM_001114119,MmugDNA.28345.1.S1_at,Cep70,0.66748017
LHFPL3,similar to lipoma HMGIC fusion partner,XM_001088047,MmugDNA.32328.1.S1_at,LHFPL3,0.659422423
LOC711336,similar to olfactomedin 2,XM_001099531,MmugDNA.33876.1.S1_s_at,OLFM2,0.638370586
TNNI3K,TNNI3 interacting kinase,XM_001097254,MmugDNA.37500.1.S1_at,TNNI3K,0.629153101
LOC722683,similar to Kallikrein-7 precursor (hK7) (Stratum corneum chymotryptic enzyme) (hSCCE),XM_001118798,MmuSTS.4444.1.S1_at,KLK7,0.627938704
LOC705810,"similar to calcium channel, voltage-dependent, alpha 2/delta 3 subunit",XM_001102142,MmunewRS.631.1.S1_at,CACNA2D3,0.61821806
TNFSF13B,"tumor necrosis factor (ligand) superfamily, member 13b",XM_001082247,MmugDNA.31841.1.S1_at,TNFSF13B,0.615912443
DBNDD1,dysbindin (dystrobrevin binding protein 1) domain containing 1,XM_001093357,MmugDNA.24492.1.S1_at,DBNDD1,0.609893083
CD53,CD53 molecule,XM_001102018,MmuSTS.3532.1.S1_at,CD53,0.602195748
BAIAP2L2,BAI1-associated protein 2-like 2,XM_001092303,MmugDNA.40078.1.S1_at,BAIAP2L2,0.601012423
LOC710435,similar to CG7889-PA,XM_001099061,MmugDNA.18958.1.S1_at,LOC151194,0.596897412
MYLK,myosin light chain kinase,XM_001113465,MmugDNA.38010.1.S1_at,MYLK,0.589896621
PHLDA2,"pleckstrin homology-like domain, family A, member 2",XM_001094620,MmuSTS.1133.1.S1_at,PHLDA2,0.588978022
LOC722040,similar to ubiquitin specific protease 43,XM_001118238,MmugDNA.29653.1.S1_at,LOC146845,0.581921702
HSPB8,heat shock 22kDa protein 8,AY457046,MmugDNA.4113.1.S1_at,HSPB8,0.581653921
MmugDNA.39622.1.S1_at,gDNA.Hs.193124.1.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 230085_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.193124.1,MmugDNA.39622.1.S1_at,,0.576406667
LOC708967,similar to phosphodiesterase 4D interacting protein isoform 2,XM_001097460,MmuSTS.4214.1.S1_at,PDE4DIP,0.570211132
TNFSF13B,"tumor necrosis factor (ligand) superfamily, member 13b",XM_001082119,MmugDNA.635.1.S1_at,TNFSF13B,0.562691097
MmuSTS.1137.1.S1_at,"gi:51853994  DEF=PIN1_3073 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA3073, sequence tagged site.  GEN=PIN1  PROD=protein (peptidyl-prolyl cis trans isomerase) NIMA-interacting 1  REP_ORG=M. mulatta",DV769189,MmuSTS.1137.1.S1_at,PIN1,0.558513625
MmugDNA.28149.1.S1_at,"gDNA.Hs.296031.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228959_at CDNA clone IMAGE:5262734, partial cds  REP_ORG=M. mulatta",gDNA.Hs.296031.0,MmugDNA.28149.1.S1_at,,0.558275955
LOC722040,similar to ubiquitin specific protease 43,XM_001118238,MmunewRS.46.1.S1_at,LOC146845,0.552458437
MmugDNA.29760.1.S1_at,gDNA.Hs.125757.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235931_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.125757.0,MmugDNA.29760.1.S1_at,,0.551818576
RGS7,regulator of G-protein signaling 7,XM_001095180,MmuSTS.3163.1.S1_at,RGS7,0.548549351
RAFTLIN,raft-linking protein,XM_001083771,MmuSTS.3238.1.S1_at,RAFTLIN,0.548237364
LOC708608,hypothetical protein LOC708608,XM_001104735,MmugDNA.16554.1.S1_at,LOC399947,0.539470029
LOC714997,similar to sulfiredoxin 1 homolog,XM_001112394,MmugDNA.24036.1.S1_s_at,C20orf139,0.535952079
MmugDNA.30718.1.S1_at,"gDNA.Hs.24894.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 233135_at Homo sapiens, clone IMAGE:5199801, mRNA  REP_ORG=M. mulatta",gDNA.Hs.24894.0,MmugDNA.30718.1.S1_at,,0.532613553
RCAN2,regulator of calcineurin 2,XM_001101876,MmuSTS.1320.1.S1_at,RCAN2,0.529677435
MYLK,myosin light chain kinase,XM_001113465,MmugDNA.37873.1.S1_at,MYLK,0.528575896
LOC699458,hypothetical protein LOC699458,XM_001091247,MmugDNA.6512.1.S1_at,DNAPTP6,0.527905582
FNDC4,fibronectin type III domain containing 4,XM_001090381,MmugDNA.26541.1.S1_at,FNDC4,0.527298148
