Primary Sequence Name,Sequence Description,Accession #,Affy Probe ID,Gene Symbol,"Correlation Coefficient to (100,0) Layer 4 High template"
RADIL,Ras association and DIL domains,XM_001088178,MmugDNA.33008.1.S1_at,RADIL,0.76747038
MmugDNA.17745.1.S1_at,gDNA.Hs.117956.0.A1  FEA=U133PSR  GEN=RORB  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242385_at RAR-related orphan receptor B  REP_ORG=M. mulatta,gDNA.Hs.117956.0,MmugDNA.17745.1.S1_at,RORB,0.748615674
MmugDNA.979.1.S1_at,"gDNA.g10947039  FEA=U133PSR  GEN=ANK1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 205390_s_at ankyrin 1, erythrocytic     ankyrin 1, erythrocytic  REP_ORG=M. mulatta",YP_727363,MmugDNA.979.1.S1_at,ANK1,0.738442971
FLRT3,fibronectin leucine rich transmembrane protein 3,XM_001084249,MmugDNA.35867.1.S1_at,FLRT3,0.737156092
RASSF6,Ras association (RalGDS/AF-6) domain family member 6,XM_001103785,MmugDNA.35626.1.S1_at,RASSF6,0.736060605
MmugDNA.7164.1.S1_at,"gDNA.Hs.184780.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 231040_at CDNA FLJ43172 fis, clone FCBBF3007242  REP_ORG=M. mulatta",gDNA.Hs.184780.0,MmugDNA.7164.1.S1_at,,0.729281434
ST8SIA4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",XM_001097339,MmugDNA.32848.1.S1_at,ST8SIA4,0.721336953
MmugDNA.26692.1.S1_at,gDNA.Hs.24901.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 244117_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.24901.0,MmugDNA.26692.1.S1_at,,0.713978157
RUNX2,runt-related transcription factor 2,XM_001100961,MmugDNA.9398.1.S1_at,RUNX2,0.711576152
LOC709901,similar to PDZ domain containing RING finger 3,XM_001098466,MmugDNA.8421.1.S1_at,PDZRN3,0.710095527
